zone_name,zone_id,epc,랙그룹명,층,선반명,파레트,높이
RCH-A1-1-A-A,441b802e33e3d848a113f49912b74ed1,DA02A40002000000001F00ED,A1,1,A,A,1700
RCH-A1-1-A-B,4bf1d448f14d6778afc51668e7ac11a8,DA02A40002000000002000ED,A1,1,A,B,1700
RCH-A1-1-B-A,47dfc3edf7834721ad8bd20a98bebe5f,DA02A40002000000002100ED,A1,1,B,A,1700
RCH-A1-1-B-B,493c11737490e578b7c7b34dc024ff19,DA02A40002000000002200ED,A1,1,B,B,1700
RCH-A1-1-C-A,440ad3a184e0df4eb0613fca773cf227,DA02A40002000000002300ED,A1,1,C,A,1700
RCH-A1-1-C-B,4907ec52b789c747bb9aca063dbd5acc,DA02A40002000000002400ED,A1,1,C,B,1700
RCH-A1-1-D-A,40f4aa9b2505802ebd054f1908dbaf9a,DA02A40002000000002500ED,A1,1,D,A,1700
RCH-A1-1-D-B,4099d65f040ba2cbb32a48752642835b,DA02A40002000000002600ED,A1,1,D,B,1700
RCH-A1-2-A-A,46e2e7f89f86b8fab7586ea4e00e13ff,DA02A40002000000001F00ED,A1,2,A,A,3400
RCH-A1-2-A-B,43ebf787c32a72468557e0c7cbf5e281,DA02A40002000000002000ED,A1,2,A,B,3400
RCH-A1-2-B-A,48b6631a73cbb95ab4a9c1f3110027c3,DA02A40002000000002100ED,A1,2,B,A,3400
RCH-A1-2-B-B,40185a5cbf92f230a2dd24b5de3d81a0,DA02A40002000000002200ED,A1,2,B,B,3400
RCH-A1-2-C-A,472f7fb43d03fc73863d3c8fb196b0ff,DA02A40002000000002300ED,A1,2,C,A,3400
RCH-A1-2-C-B,4f251104baecaec0b2879a381ee2000e,DA02A40002000000002400ED,A1,2,C,B,3400
RCH-A1-2-D-A,4fb7c1aac7d8dedd89be484054088ab4,DA02A40002000000002500ED,A1,2,D,A,3400
RCH-A1-2-D-B,4d2fa4238efbc0eab972d92424e3140d,DA02A40002000000002600ED,A1,2,D,B,3400
RCH-A1-3-A-A,43efc5963db5ec639ebd26d0272319df,DA02A40002000000001F00ED,A1,3,A,A,5870
RCH-A1-3-A-B,434b943c16559263990a7b46887d8524,DA02A40002000000002000ED,A1,3,A,B,5870
RCH-A1-3-B-A,446dc087cc57873da3cc2198077ca034,DA02A40002000000002100ED,A1,3,B,A,5870
RCH-A1-3-B-B,4ee7428b509f59909c0067cb74d505ae,DA02A40002000000002200ED,A1,3,B,B,5870
RCH-A1-3-C-A,40779de094cec619a3a4b0205f97cfce,DA02A40002000000002300ED,A1,3,C,A,5870
RCH-A1-3-C-B,4bdd664acc80a98a9423079d5373642d,DA02A40002000000002400ED,A1,3,C,B,5870
RCH-A1-3-D-A,41dd8146c2b80dfe98496c40346512f6,DA02A40002000000002500ED,A1,3,D,A,5870
RCH-A1-3-D-B,4bb3cf5bd2c5971ab5d5b58840ab9447,DA02A40002000000002600ED,A1,3,D,B,5870
RCH-A1-4-A-A,4087c44abd22f9b2a99575b70c87b8de,DA02A40002000000001F00ED,A1,4,A,A,8000
RCH-A1-4-A-B,4ae0411d772c2eba9464f7ebced2f319,DA02A40002000000002000ED,A1,4,A,B,8000
RCH-A1-4-B-A,47132f25dc71049b9c19227a1a2822e8,DA02A40002000000002100ED,A1,4,B,A,8000
RCH-A1-4-B-B,4b384665eca71dfe87bb7b3e0eff923b,DA02A40002000000002200ED,A1,4,B,B,8000
RCH-A1-4-C-A,4a79e25c72d112e58a9f0350ad58cf8a,DA02A40002000000002300ED,A1,4,C,A,8000
RCH-A1-4-C-B,4031f1e1f761f608aed5df7c6ba6a3a2,DA02A40002000000002400ED,A1,4,C,B,8000
RCH-A1-4-D-A,43033f1b95a9559a85427b97fae98fb4,DA02A40002000000002500ED,A1,4,D,A,8000
RCH-A1-4-D-B,45bbc822149c8f3dad97d514ec2f27d4,DA02A40002000000002600ED,A1,4,D,B,8000
RCH-A2-1-A-A,4e04dae076ff40868d03f47c9e4f6aef,DA02A40002000000003700ED,A2,1,A,A,1500
RCH-A2-1-A-B,4d22f58e35eebf119d507d283dab11a7,DA02A40002000000003800ED,A2,1,A,B,1500
RCH-A2-1-B-A,4657ee73eaa09053b0947c9cbafddc9d,DA02A40002000000003900ED,A2,1,B,A,1500
RCH-A2-1-B-B,4cb63d01f99172178de8ed6ea036c738,DA02A40002000000003A00ED,A2,1,B,B,1500
RCH-A2-1-C-A,43ff999643bc60538a72044141719d5a,DA02A40002000000003B00ED,A2,1,C,A,1500
RCH-A2-1-C-B,46cda8962d9a58c9884f196871f41289,DA02A40002000000003C00ED,A2,1,C,B,1500
RCH-A2-1-D-A,4ef047b5f776d071a7d0436108d1daf2,DA02A40002000000003D00ED,A2,1,D,A,1500
RCH-A2-2-A-A,450f9374d4f61e789a520c92c87c3b91,DA02A40002000000003700ED,A2,2,A,A,3100
RCH-A2-2-A-B,40e237045d0e03cabee1e3faa2b60ec7,DA02A40002000000003800ED,A2,2,A,B,3100
RCH-A2-2-B-A,476bf72ecf87ca32bbf7d07f8b36b1e6,DA02A40002000000003900ED,A2,2,B,A,3100
RCH-A2-2-B-B,4ea221a645661845b075bbe627760972,DA02A40002000000003A00ED,A2,2,B,B,3100
RCH-A2-2-C-A,44abf3065cd3b4afa111867665a65e8c,DA02A40002000000003B00ED,A2,2,C,A,3100
RCH-A2-2-C-B,43889d289d15f769b4a751499f6ca86f,DA02A40002000000003C00ED,A2,2,C,B,3100
RCH-A2-2-D-A,4541933b2f04089facca0cdd1e3ed4a5,DA02A40002000000003D00ED,A2,2,D,A,3100
RCH-A2-3-A-A,4ad85a631ef4452abc729da7a70441bd,DA02A40002000000003700ED,A2,3,A,A,5350
RCH-A2-3-A-B,40136c2800d2bb738a9e613d4900b8d5,DA02A40002000000003800ED,A2,3,A,B,5350
RCH-A2-3-B-A,4de33fc2e7ece2b68d6747f3b085d311,DA02A40002000000003900ED,A2,3,B,A,5350
RCH-A2-3-B-B,4093c822d238b61abc79bb7b90157e33,DA02A40002000000003A00ED,A2,3,B,B,5350
RCH-A2-3-C-A,41c13bdd94fe0474b01c2063d679286a,DA02A40002000000003B00ED,A2,3,C,A,5350
RCH-A2-3-C-B,4803925d170f0f608c0f0770c64b0ac5,DA02A40002000000003C00ED,A2,3,C,B,5350
RCH-A2-3-D-A,4e0cc18c7d6c17519291a02aca905330,DA02A40002000000003D00ED,A2,3,D,A,5350
RCH-A2-4-A-A,4f0ee791c440b899964c820e7f067e0a,DA02A40002000000003700ED,A2,4,A,A,7480
RCH-A2-4-A-B,4948f054933c25b38b564080982f8a85,DA02A40002000000003800ED,A2,4,A,B,7480
RCH-A2-4-B-A,471dcc7d88ec16c1b2e7dc4c4e468f44,DA02A40002000000003900ED,A2,4,B,A,7480
RCH-A2-4-B-B,4931e8f6b9648213842cecc2b8cf0d22,DA02A40002000000003A00ED,A2,4,B,B,7480
RCH-A2-4-C-A,410f585718b2ebfd992b2a8c59ae8ec8,DA02A40002000000003B00ED,A2,4,C,A,7480
RCH-A2-4-C-B,44a837b380e1e00abf4d82d510b96936,DA02A40002000000003C00ED,A2,4,C,B,7480
RCH-A2-4-D-A,45e26c61cc9a75b7bc37532e4d81e1f6,DA02A40002000000003D00ED,A2,4,D,A,7480
RCH-B1-1-A-A,46e467c9ef475b009db34837235d7ec7,DA02A40002000000002700ED,B1,1,A,A,1700
RCH-B1-1-A-B,48754a97e8a93a0489363b0669be540c,DA02A40002000000002800ED,B1,1,A,B,1700
RCH-B1-1-B-A,4c8792d52b6dc6088a166a05560487fb,DA02A40002000000002900ED,B1,1,B,A,1700
RCH-B1-1-B-B,4d666b98414ac2e3aaf0e5816257bf27,DA02A40002000000002A00ED,B1,1,B,B,1700
RCH-B1-1-C-A,45228d781af6a5fd86f3597d879192f6,DA02A40002000000002B00ED,B1,1,C,A,1700
RCH-B1-1-C-B,4a79f9eda48f5cb7a2151c0a6e77c48a,DA02A40002000000002C00ED,B1,1,C,B,1700
RCH-B1-1-D-A,4e02f9be08d8e5b6acd87d0bccf41f94,DA02A40002000000002D00ED,B1,1,D,A,1700
RCH-B1-1-D-B,44bf0b7a826aeb78ae27aa4758ab620c,DA02A40002000000002E00ED,B1,1,D,B,1700
RCH-B1-2-A-A,4c6806193cf0b474a2ae8aafc9dbe8ea,DA02A40002000000002700ED,B1,2,A,A,3400
RCH-B1-2-A-B,45e10806f4afa5a6a74dac4b3aee4c17,DA02A40002000000002800ED,B1,2,A,B,3400
RCH-B1-2-B-A,498e8d346c12ed809cafa24b51b8d7b8,DA02A40002000000002900ED,B1,2,B,A,3400
RCH-B1-2-B-B,448b4cd942549744bd6e848b6f4b4b1e,DA02A40002000000002A00ED,B1,2,B,B,3400
RCH-B1-2-C-A,4bdf3ce6fcc84f1283acc719de2daff9,DA02A40002000000002B00ED,B1,2,C,A,3400
RCH-B1-2-C-B,4940aff374d9518ebb95cf7a3e4bdced,DA02A40002000000002C00ED,B1,2,C,B,3400
RCH-B1-2-D-A,482ce5e992044aa590d52152a79e5558,DA02A40002000000002D00ED,B1,2,D,A,3400
RCH-B1-2-D-B,4f15a5ea4056289787f874ef85576bc4,DA02A40002000000002E00ED,B1,2,D,B,3400
RCH-B1-3-A-A,4813c9143abce8bdbf18181b6c210ca2,DA02A40002000000002700ED,B1,3,A,A,5870
RCH-B1-3-A-B,43a03ca39b5349fb97f6a1b18cff4353,DA02A40002000000002800ED,B1,3,A,B,5870
RCH-B1-3-B-A,4f183033e797a14596e13047e2df9edd,DA02A40002000000002900ED,B1,3,B,A,5870
RCH-B1-3-B-B,4c7bb9ca4f3a47ae834f7db3aeb3f935,DA02A40002000000002A00ED,B1,3,B,B,5870
RCH-B1-3-C-A,405917e20a96d03aa47187700edc8e03,DA02A40002000000002B00ED,B1,3,C,A,5870
RCH-B1-3-C-B,45ac975bc6940f50805baba6fb6e0a20,DA02A40002000000002C00ED,B1,3,C,B,5870
RCH-B1-3-D-A,4362c050dc253b1fa32ba48c04985330,DA02A40002000000002D00ED,B1,3,D,A,5870
RCH-B1-3-D-B,441f568f5decdc8da809402a06698739,DA02A40002000000002E00ED,B1,3,D,B,5870
RCH-B1-4-A-A,49161647308fd380aed92ff794816763,DA02A40002000000002700ED,B1,4,A,A,8000
RCH-B1-4-A-B,46cc9fe4d3d555aaacc305a12e163c5d,DA02A40002000000002800ED,B1,4,A,B,8000
RCH-B1-4-B-A,4abc4ee41a247f4786af815974c4d852,DA02A40002000000002900ED,B1,4,B,A,8000
RCH-B1-4-B-B,4757187b38c82b39a7709bab33e2c10a,DA02A40002000000002A00ED,B1,4,B,B,8000
RCH-B1-4-C-A,4f6f3c23764fa1e49b45b97d96529378,DA02A40002000000002B00ED,B1,4,C,A,8000
RCH-B1-4-C-B,42cfee288e644e13907cab10e29417d2,DA02A40002000000002C00ED,B1,4,C,B,8000
RCH-B1-4-D-A,48faf4f369ff60c09fe5e4b17cd530c3,DA02A40002000000002D00ED,B1,4,D,A,8000
RCH-B1-4-D-B,43c6889d4db88fa89bcbf3b177bef0fc,DA02A40002000000002E00ED,B1,4,D,B,8000
RCH-B2-1-A-A,4a94a13776802495bade65974a547e38,DA02A40002000000003E00ED,B2,1,A,A,1500
RCH-B2-1-A-B,4912a99367a4b9c99f6ad42b0a620d8b,DA02A40002000000003F00ED,B2,1,A,B,1500
RCH-B2-1-B-A,4c24d43ff4a7714e9110d1ed6aa0ec71,DA02A40002000000004000ED,B2,1,B,A,1500
RCH-B2-1-B-B,4664ad2d6bcef8faa0c536809d23662f,DA02A40002000000004100ED,B2,1,B,B,1500
RCH-B2-1-C-A,410762d7109e3c3999c519de650ebd97,DA02A40002000000004200ED,B2,1,C,A,1500
RCH-B2-1-C-B,44f459d812236ca89cb484bb29dcee8b,DA02A40002000000004300ED,B2,1,C,B,1500
RCH-B2-1-D-A,46905a320bba42c0974129bf0e8b0f6f,DA02A40002000000004400ED,B2,1,D,A,1500
RCH-B2-2-A-A,42a46927b817c0559ea53d5a993e3b48,DA02A40002000000003E00ED,B2,2,A,A,3100
RCH-B2-2-A-B,4172f4d366f275948de0a32373247db8,DA02A40002000000003F00ED,B2,2,A,B,3100
RCH-B2-2-B-A,43c6034aaff3cca080d0ce8884642816,DA02A40002000000004000ED,B2,2,B,A,3100
RCH-B2-2-B-B,445a4f719c0c47bb85e00a497c4c2fa2,DA02A40002000000004100ED,B2,2,B,B,3100
RCH-B2-2-C-A,4a8099f609ba77e59b25f41f405e80f9,DA02A40002000000004200ED,B2,2,C,A,3100
RCH-B2-2-C-B,4414f07f74f77fb884d6113077e93dd4,DA02A40002000000004300ED,B2,2,C,B,3100
RCH-B2-2-D-A,4cae95fa6eaa4b1582ff94cddddff02b,DA02A40002000000004400ED,B2,2,D,A,3100
RCH-B2-3-A-A,43021178f734cdb991d578fecc6c4d18,DA02A40002000000003E00ED,B2,3,A,A,5350
RCH-B2-3-A-B,400209277e9b4191a7f655eb21327939,DA02A40002000000003F00ED,B2,3,A,B,5350
RCH-B2-3-B-A,43b0a7e84325cf7c9692f9f47e8bf522,DA02A40002000000004000ED,B2,3,B,A,5350
RCH-B2-3-B-B,42652706a95f2d3e93395779b305037d,DA02A40002000000004100ED,B2,3,B,B,5350
RCH-B2-3-C-A,4165d00eb2425e34a3462cb73d1a1004,DA02A40002000000004200ED,B2,3,C,A,5350
RCH-B2-3-C-B,4a72499f1797b1779fc1bb6712325f20,DA02A40002000000004300ED,B2,3,C,B,5350
RCH-B2-3-D-A,442dc4b920d6aaf790ef93d91fb24023,DA02A40002000000004400ED,B2,3,D,A,5350
RCH-B2-4-A-A,4d292c7dca81afc0ae2ea3e7150b53bb,DA02A40002000000003E00ED,B2,4,A,A,7480
RCH-B2-4-A-B,4e1a62e0988f637085d227a8ac5b5d01,DA02A40002000000003F00ED,B2,4,A,B,7480
RCH-B2-4-B-A,44b758c77bc94ea9ba74d996c4bdb5e1,DA02A40002000000004000ED,B2,4,B,A,7480
RCH-B2-4-B-B,4f3d6c08b2cc108da23b7d0ec6084b8e,DA02A40002000000004100ED,B2,4,B,B,7480
RCH-B2-4-C-A,49e2af44b5adf0ec840b507b3b21096b,DA02A40002000000004200ED,B2,4,C,A,7480
RCH-B2-4-C-B,4bf1b29d644718488cad503597d76c60,DA02A40002000000004300ED,B2,4,C,B,7480
RCH-B2-4-D-A,48cdc9fb3114a1a882ec0390afc2ecc7,DA02A40002000000004400ED,B2,4,D,A,7480
RCH-C1-1-A-A,4fc02da42e2293189ae2e488dc4eb64a,DA02A40002000000002F00ED,C1,1,A,A,1520
RCH-C1-1-A-B,4b529ed5e90a4d5a8a3cac8a387b2d29,DA02A40002000000003000ED,C1,1,A,B,1520
RCH-C1-1-B-A,4efa20633e5db304924ce9ae4ac11974,DA02A40002000000003100ED,C1,1,B,A,1520
RCH-C1-1-B-B,49176f78f0d5abe2bedc50a5ea93dcb2,DA02A40002000000003200ED,C1,1,B,B,1520
RCH-C1-1-C-A,4c1d7a67456fc04a9f452eb338edd8cb,DA02A40002000000003300ED,C1,1,C,A,1700
RCH-C1-1-C-B,4abe895bb5a2be8aa820b9bb8588b98c,DA02A40002000000003400ED,C1,1,C,B,1700
RCH-C1-1-D-A,49dd339493cbdf33a3545d0e664a47e9,DA02A40002000000003500ED,C1,1,D,A,1700
RCH-C1-1-D-B,42d3ece19c27c18c8cee2ebf05fb952b,DA02A40002000000003600ED,C1,1,D,B,1700
RCH-C1-2-A-A,4d42f0f2e824b2eeb427c5873df6c1a8,DA02A40002000000002F00ED,C1,2,A,A,3235
RCH-C1-2-A-B,49a14fe135b31529bea751d81fb8c07d,DA02A40002000000003000ED,C1,2,A,B,3235
RCH-C1-2-B-A,41a7914e3f90c17e8eaebd675c49f73b,DA02A40002000000003100ED,C1,2,B,A,3235
RCH-C1-2-B-B,4830b0027c7ae8c3a47f728c415ea643,DA02A40002000000003200ED,C1,2,B,B,3235
RCH-C1-2-C-A,4abf901d99ec1087b51c0ed628a87c4d,DA02A40002000000003300ED,C1,2,C,A,3400
RCH-C1-2-C-B,4eaa7902e5d44f2cb2a98c39f6f1bbe5,DA02A40002000000003400ED,C1,2,C,B,3400
RCH-C1-2-D-A,435c1113caaa6d93ae304d9393ce75e3,DA02A40002000000003500ED,C1,2,D,A,3400
RCH-C1-2-D-B,4490299081b2fac986816f36e22023c6,DA02A40002000000003600ED,C1,2,D,B,3400
RCH-C1-3-A-A,492e7cb9c180fc69b47560466889e12d,DA02A40002000000002F00ED,C1,3,A,A,5870
RCH-C1-3-A-B,404e9e813370e95593ecef2df09b3d46,DA02A40002000000003000ED,C1,3,A,B,5870
RCH-C1-3-B-A,4a2b4433d8256f20ba0707404b5990ec,DA02A40002000000003100ED,C1,3,B,A,5870
RCH-C1-3-B-B,4ef8683d4a5eb57691fcfd263064c4f0,DA02A40002000000003200ED,C1,3,B,B,5870
RCH-C1-3-C-A,4e320c93ad95256daa895850ea852f42,DA02A40002000000003300ED,C1,3,C,A,5870
RCH-C1-3-C-B,43cd8322fdbf2575b13006f0a3fd7fce,DA02A40002000000003400ED,C1,3,C,B,5870
RCH-C1-3-D-A,47118eeb62308153bbba30319c52dd1d,DA02A40002000000003500ED,C1,3,D,A,5870
RCH-C1-3-D-B,4bf31a20a0d0c1288976cb7f42941352,DA02A40002000000003600ED,C1,3,D,B,5870
RCH-C1-4-A-A,40c93d4c58c06c8faac3284a3a97d337,DA02A40002000000002F00ED,C1,4,A,A,8000
RCH-C1-4-A-B,4261d3962ed43e6cb99521a50561a123,DA02A40002000000003000ED,C1,4,A,B,8000
RCH-C1-4-B-A,4e254fcee1162b0c8a5881fd5e591355,DA02A40002000000003100ED,C1,4,B,A,8000
RCH-C1-4-B-B,4dd64821bcb2432eab2d622c533541c9,DA02A40002000000003200ED,C1,4,B,B,8000
RCH-C1-4-C-A,420b5e31a889d9d5b9b5a49f52e76807,DA02A40002000000003300ED,C1,4,C,A,8000
RCH-C1-4-C-B,4c0460c207b5168797a9028d1a820d2c,DA02A40002000000003400ED,C1,4,C,B,8000
RCH-C1-4-D-A,47ec9bb65764b6beb16e1d6333e3a799,DA02A40002000000003500ED,C1,4,D,A,8000
RCH-C1-4-D-B,40632418598f4e84953d4a243f0d2127,DA02A40002000000003600ED,C1,4,D,B,8000
RCH-C2-1-A-A,49fe56c6898a27f88c8abf28da34e400,DA02A40002000000004500ED,C2,1,A,A,1500
RCH-C2-1-A-B,47bec26a51a5c817902a5f9bcc3ab56d,DA02A40002000000004600ED,C2,1,A,B,1500
RCH-C2-1-B-A,44b851094f4361bcbacc1ecbc2a822cb,DA02A40002000000004700ED,C2,1,B,A,1500
RCH-C2-1-B-B,4aa9485d00a3c3e6985d23c1ed3ea722,DA02A40002000000004800ED,C2,1,B,B,1500
RCH-C2-1-C-A,4658383e0ab93939a09e46ff28c104b2,DA02A40002000000004900ED,C2,1,C,A,1500
RCH-C2-1-C-B,402bf1b25afa0079948498f4e7ed023a,DA02A40002000000004A00ED,C2,1,C,B,1500
RCH-C2-1-D-A,492d000bac7496e7a3630d18fe7af15e,DA02A40002000000004B00ED,C2,1,D,A,1500
RCH-C2-2-A-A,425fa738f37206f89b2afd0140c1e4a8,DA02A40002000000004500ED,C2,2,A,A,3100
RCH-C2-2-A-B,4106bc2b7e58da15aed846bd131c0f67,DA02A40002000000004600ED,C2,2,A,B,3100
RCH-C2-2-B-A,44c66499e4ae958cbe525c58c4b6260a,DA02A40002000000004700ED,C2,2,B,A,3100
RCH-C2-2-B-B,444d1828bf86d45891c6aff33677bef4,DA02A40002000000004800ED,C2,2,B,B,3100
RCH-C2-2-C-A,4e10a0d80239195197413ae5fd2c561a,DA02A40002000000004900ED,C2,2,C,A,3100
RCH-C2-2-C-B,48dcb7a395e4fa2da029a80a56c43b01,DA02A40002000000004A00ED,C2,2,C,B,3100
RCH-C2-2-D-A,45ad26d37400dcd1b31ab4a26c96cf1c,DA02A40002000000004B00ED,C2,2,D,A,3100
RCH-C2-3-A-A,46c9a36cacd0e749a5d56848f2fb643f,DA02A40002000000004500ED,C2,3,A,A,5350
RCH-C2-3-A-B,4c7d7f31be24cb9ca5ffeb5afe5e916c,DA02A40002000000004600ED,C2,3,A,B,5350
RCH-C2-3-B-A,41977e547de5972695b823aaccdb2e88,DA02A40002000000004700ED,C2,3,B,A,5350
RCH-C2-3-B-B,44c19d1fa045ec04be0ff5b63b1014bd,DA02A40002000000004800ED,C2,3,B,B,5350
RCH-C2-3-C-A,415f84fa94b889ddab62fc8e383a9399,DA02A40002000000004900ED,C2,3,C,A,5350
RCH-C2-3-C-B,4104db769cd0cad6bbb0e4d081c5d01f,DA02A40002000000004A00ED,C2,3,C,B,5350
RCH-C2-3-D-A,4ba9b0f3474f8828a704c6c491f5de08,DA02A40002000000004B00ED,C2,3,D,A,5350
RCH-C2-4-A-A,4d855bff8b2eaf6ebd2d4aa89d013bd7,DA02A40002000000004500ED,C2,4,A,A,7480
RCH-C2-4-A-B,401af269703c360eaaa12c0b2c3f2549,DA02A40002000000004600ED,C2,4,A,B,7480
RCH-C2-4-B-A,4318757313c75a749b9d10a0e6e1754e,DA02A40002000000004700ED,C2,4,B,A,7480
RCH-C2-4-B-B,496b1719648f3c29a09cd9983fd9fc3f,DA02A40002000000004800ED,C2,4,B,B,7480
RCH-C2-4-C-A,488ae6109382ca73bc1869cbce03f7ea,DA02A40002000000004900ED,C2,4,C,A,7480
RCH-C2-4-C-B,4ede8e6b7cc340c397f9a1624863ba60,DA02A40002000000004A00ED,C2,4,C,B,7480
RCH-C2-4-D-A,45440976cf1d53dea0c9d5e2393037c1,DA02A40002000000004B00ED,C2,4,D,A,7480